Symbol,LTP,%chng,Days Since High,Today's Date,Series Type,Market Cap,P/E Ratio,ROE,ROCE,Sector,Industry,About,Latest Price
GATECH-RE1,0.09,12.5,1.0,15-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,N/A
GODFRYPHLP,9215.0,2.77,1.0,15-May-25,Equity,"₹ 47,860 Cr.",46.7,20.9 %,24.1 %,Tobacco Products,Cigarettes,"Godfrey Phillips India is one of the leading FMCG Companies in India - flagship company of KK Modi Group. They have many iconic cigarette brands like Four Square, Red & White, and Cavanders to its name. It also have an exclusive sourcing and supply agreement with Philip Morris International to manufacture and distribute the renowned brand in India.",8395.5
ICICIBANK,1451.0,1.74,3.0,15-May-25,Equity,"₹ 10,35,840 Cr.",21.9,17.9 %,7.62 %,Banks,Banks - Private Sector,"ICICI Bank is the second-largest private sector bank in India offering a diversified portfolio of financial products and services to retail, SME and corporate customers. The Bank has an extensive network of branches, ATMs and other touch-points.The ICICI group has presence in businesses like life and general insurance, housing finance, primary dealership, etc, through its subsidiaries and associates.",1437.9
INDIAGLYCO,1757.9,2.57,1.0,15-May-25,Equity,"₹ 5,421 Cr.",32.3,9.00 %,11.1 %,Alcoholic Beverages,Breweries & Distilleries,"Established in 1988, India Glycols Ltd. is engaged in the manufacturing of green technology-based bulk, specialty & performance chemicals, and natural gums, spirits, industrial gases, sugar, and nutraceuticals.",1915.2
ITTL,56.3,1.99,2.0,15-May-25,SME,₹ 56.3 Cr.,Book Value,%,-26.6 %,Tyres,Tyres,"Incorporated in 1995, Innovative Tyres
and Tubes Ltd manufactures and sells
Tyres & Tubes[1]",N/A
JKCEMENT,5259.0,-0.93,1.0,15-May-25,Equity,"₹ 40,448 Cr.",59.2,16.8 %,16.5 %,Cement,Cement - North India,The Company is engaged in the manufacturing and selling of Cement and Cement related products with over 4 decades of experience in cement manufacturing. It is an affiliate of the multi-disciplinary industrial conglomerate JK Organisation.,5493.0
KANPRPLA,172.39,-1.58,1.0,15-May-25,Equity,₹ 417 Cr.,40.4,0.18 %,4.74 %,Packaging,Packaging,"Incorporated in 1971, Kanpur Plastipack Ltd manufactures HDPE /PP Woven Sacks, PP Box Bags, FIBC, Fabrics and High Tenacity PP MFY[1]",234.44
KILITCH,423.5,1.41,15.0,15-May-25,Equity,₹ 662 Cr.,28.3,7.98 %,10.2 %,Pharmaceuticals,Pharmaceuticals - Indian - Formulations,"Incorporated in 1978, Kilitch Drugs Ltd is engaged in the operation and management of Pharmaceutical Products[1]",422.65
KRISHANA,360.1,1.34,1.0,15-May-25,Equity,"₹ 2,193 Cr.",25.3,25.3 %,21.7 %,Fertilizers,Fertilizers,"Incorporated in 2004, Krishana Phoschem Ltd is in the business of manufacturing of fertilizers & chemicals[1]",403.65
LLOYDS-RE1,18.11,-25.72,,15-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,N/A
MAHICKRA,137.4,20.0,134.0,15-May-25,SME,₹ 111 Cr.,57.7,3.25 %,5.96 %,Chemicals,Dyes And Pigments,"Incorporated in 1997, Mahickra Chemicals Ltd manufacturers, trades & exports Dyes and Chemicals[1]",122.9
MANGCHEFER,245.48,2.73,9.0,15-May-25,Equity,"₹ 2,916 Cr.",20.3,14.3 %,14.9 %,Fertilizers,Fertilizers,"Mangalore Chemicals and Fertilizers Limited (MCF) is primarily engaged in the manufacture, purchase, and sale of fertilizers. It is a subsidiary of Zuari Fertilisers and Chemicals Limited, an Adventz Group.",286.3
MANORAMA,1463.0,-2.16,1.0,15-May-25,Equity,"₹ 8,738 Cr.",78.0,28.0 %,23.0 %,FMCG,Food - Processing - Indian,Manorama Industries is engaged in manufacturing specialty fats and butter made from exotic seeds and nuts. [1],1419.6
MASTER,409.75,0.01,1.0,15-May-25,SME,₹ 164 Cr.,40.0,15.6 %,21.7 %,Plastic products,Plastics Products,"Incorporated in 1999, Master Components Ltd is in the business of manufacturing of Plastic Engineering Components and sub assemblies[1]",N/A
MFSL,1357.4,1.43,1.0,15-May-25,Equity,"₹ 46,755 Cr.",Book Value,-0.14 %,-0.13 %,Finance,Finance & Investments,"Max Financial Services Limited incorporated on 24 February, 1988 is part of India’s leading business conglomerate – the Max Group. Company is primarily engaged in growing and nurturing business investments and providing management advisory services to Indian group companies. It owns and actively manages an 81.83% majority stake in Max Life Insurance, India’s largest non-bank life insurer and 4th largest private life insurance company.",1513.2
NAZARA,1244.9,1.94,1.0,15-May-25,Equity,"₹ 10,946 Cr.",Book Value,-8.39 %,-7.82 %,Telecomm-Service,Telecommunications - Service Provider,"Nazara Technologies is the leading India based diversified gaming and sports media platform with presence in India and across emerging and developed global markets such as Africa and North America, and offerings across the interactive gaming, eSports and gamified early learning ecosystems.",1268.4
PARADEEP,156.69,2.34,1.0,15-May-25,Equity,"₹ 12,805 Cr.",23.2,14.5 %,13.9 %,Fertilizers,Fertilizers,"Incorporated in 1981, Paradeep Phosphates Limited is a manufacturer of non-urea fertilizers and India’s second largest private sector phosphatic company. The company is engaged in manufacturing, trading, distribution, and sales of a variety of complex fertilizers such as DAP, three grades of Nitrogen-Phosphorus-Potassium (namely NPK-10, NPK-12, and NP-20), Zypmite, Phospho-gypsum, and Hydroflorosilicic Acid.",176.5
PRIVISCL,2330.0,-0.22,1.0,15-May-25,Equity,"₹ 9,158 Cr.",48.4,18.7 %,17.9 %,Chemicals,Chemicals,"Incorporated in 1985, Privi Speciality Chemicals Ltd (Formerly known as Privi Speciality Ltd.) is primarily engaged in the manufacturing, supply and exports of aroma and fragrance chemicals used in soaps, detergents, shampoos, and other fine fragrances.",2324.1
RMDRIP,535.0,0.87,1.0,15-May-25,SME,"₹ 1,338 Cr.",55.9,39.7 %,44.6 %,Plastic products,Plastics Products,"Incorporated in 1996, R M Drip & Sprinklers Systems Ltd manufactures micro irrigation systems[1]",548.35
SHANKARA,734.7,2.43,316.0,15-May-25,Equity,"₹ 1,783 Cr.",27.0,13.0 %,19.7 %,Retail,Trading,Shankara Building Products Ltd is one of the India's leading organized retailers of home improvement and building products in India. It caters to a large customer base spread across various end-user segments in urban and semi-urban markets through a retail led multi-channel approach.,870.6
SHEETAL,116.0,5.31,15.0,15-May-25,SME,₹ 128 Cr.,62.2,10.0 %,12.8 %,FMCG,Food - Processing - Indian,"Incorporated in 2015, Sheetal Universal Ltd is engaged in the manufacturing of Agricultural Products[1]",132.15
SHREECEM,31405.0,2.56,24.0,15-May-25,Equity,"₹ 1,13,097 Cr.",94.5,5.75 %,7.24 %,Cement,Cement - North India,Shree Cement is engaged in manufacturing and selling of cement and cement related products and is ** one of the lowest cost producers in the country. It is the 3rd largest** cement producer in India with an installed capacity of 46.4 MTPA.,29375.0
SHRIPISTON,2439.0,-0.27,1.0,15-May-25,Equity,"₹ 10,915 Cr.",21.9,22.8 %,27.1 %,Auto Ancillaries,Auto Ancillaries,"Shriram Pistons & Rings Ltd is primarily engaged in the manufacturing of pistons, piston pins, piston rings and engine valves for various automotive companies in the domestic and export markets.",2437.0
SOLARINDS,13891.0,1.22,1.0,15-May-25,Equity,"₹ 1,25,535 Cr.",166,28.9 %,34.1 %,Aerospace & Defence,Chemicals,"Solar Industries is one of the largest domestic manufacturers of bulk and cartridge explosives, detonators, detonating cords and components which find applications in the mining, infrastructure and construction industries.
Company manufactures high-energy explosives, delivery systems, ammunition filling and pyros fuses for the defence sector.",16619.0
SUVEN,184.41,0.16,1.0,15-May-25,Equity,"₹ 4,028 Cr.",Book Value,-5.72 %,-5.72 %,Healthcare,Miscellaneous,"Suven Life Sciences Ltd is a clinical-stage biopharmaceutical company focused on the acquisition, development and commercialisation of novel therapeutics for the treatment of neurodegenerative disorders.",237.84
TAC,1437.95,9.17,43.0,15-May-25,SME,"₹ 1,493 Cr.",114,38.5 %,39.1 %,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2016, TAC Infosec
Ltd is a global cybersecurity company specializing in vulnerability management[1]",1200.1
TANKUP,198.0,15.79,15.0,15-May-25,SME,₹ 105 Cr.,40.7,107 %,62.8 %,Engineering,Engineering,"Incorporated in 2020, Tankup Engineers
Ltd designs and manufactures mobility
and storage solutions for special-purpose applications",256.0
TDPOWERSYS,486.8,2.38,1.0,15-May-25,Equity,"₹ 7,613 Cr.",48.8,20.3 %,27.8 %,Capital Goods - Electrical Equipment,Electric Equipment,TD Power Systems Ltd is engaged in manufacturing AC generators and Electric motors for various applications which are specifically designed to suit the needs of the customers based on their requirements and specifications.,500.6
TERASOFT,273.09,5.0,103.0,15-May-25,Equity,₹ 342 Cr.,43.3,3.78 %,7.79 %,IT - Software,Computers - Software - Medium / Small,"Incorporated in 1994, Tera Software Ltd is in
the business of IT & Integrated related services",252.6
ABINFRA,108.71,2.96,1.0,16-May-25,Equity,₹ 693 Cr.,Book Value,20.0 %,22.3 %,Infrastructure Developers & Operators,Construction,"Incorporated in 2011, A B Infrabuild Ltd construction of roads, railways, branches and sidings, bridges, etc.[1]",141.89
AIIL,2150.0,0.13,1.0,16-May-25,Equity,"₹ 36,432 Cr.",8.58,34.1 %,31.2 %,Finance,Finance & Investments,"Authum Investment & Infrastructure Limited is engaged in the business of fund-based activities viz, investment in shares, securities, mutual funds etc. and providing loans and advances, etc.",2473.6
ANURAS,942.0,-1.68,1.0,16-May-25,Equity,"₹ 10,355 Cr.",165,4.46 %,7.29 %,Chemicals,Chemicals,"Anupam Rasayan India Ltd is engaged in manufacturing of specialty chemicals, which are sold in local as well as exported to other countries.[1]",1001.5
APLAPOLLO,1784.0,0.46,1.0,16-May-25,Equity,"₹ 49,538 Cr.",148,11.2 %,15.3 %,Steel,Steel - Large,"APL Apollo Tubes Limited (APL Apollo) is one of India’s leading branded steel products manufacturers. Headquartered at Delhi NCR, the Company runs 10 manufacturing facilities churning out over 1,500 varieties of MS Black Pipes, Galvanised Tubes, Pre-Galvanised Tubes, Structural ERW Steel Tubes and Hollow Sections to serve industry applications like urban infrastructures, housing, irrigation, solar plants, greenhouses and engineering.",1815.6
APRAMEYA,158.0,-0.03,1.0,16-May-25,SME,₹ 301 Cr.,18.7,36.8 %,31.1 %,Healthcare,Healthcare,"Incorporated in September 2003, Aprameya Engineering Limited specializes in installing and maintaining Intensive Care Units (ICU), Neonatal Intensive Care Units (NICU), Pediatric Intensive Care Units (PICU), Operation Theatres, and prefabricated structure wards in hospitals and medical care centers.",156.0
ARSSINFRA,52.13,4.99,1.0,16-May-25,Equity,₹ 119 Cr.,83.3,%,-2.32 %,Infrastructure Developers & Operators,Construction,"Incorporated in 2000, ARSS Infrastructure Projects Ltd is in the business of project execution for various civil and infrastructure projects",N/A
ARUNAYA,44.3,4.98,1.0,16-May-25,SME,₹ 77.7 Cr.,19.0,44.1 %,32.5 %,Chemicals,Dyes And Pigments,"Incorporated in 2010, Arunaya Organics Limited is engaged in the manufacturing and exporting of specialty dyes and intermediates.[1]",35.15
ASTRAMICRO,1067.9,6.54,332.0,16-May-25,Equity,"₹ 10,108 Cr.",85.1,13.9 %,18.0 %,Aerospace & Defence,Telecommunications - Equipment,"Astra Microwave Products is engaged in the business of design, development and manufacture of sub-systems for Radio Frequency and microwave systems used in defense, space, meteorology and telecommunication.",1140.6
AVANTEL-RE,79.0,14.96,1.0,16-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,N/A
AXISCADES,938.0,0.4,53.0,16-May-25,Equity,"₹ 3,994 Cr.",152,-1.52 %,8.37 %,IT - Software,Computers - Software - Medium / Small,Axiscades Technologies Limited is a technology solutions company focussing on engineering solutions and services. [1],1103.6
BAJAJHLDNG,13082.0,3.58,137.0,16-May-25,Equity,"₹ 1,46,235 Cr.",60.8,16.8 %,17.4 %,Finance,Finance & Investments,"Incorporated in 2024, Bajaj Holdings & Investment Ltd is an Investment and Credit Company[1]",13158.0
BANARISUG,4325.0,0.75,14.0,16-May-25,Equity,"₹ 5,430 Cr.",59.5,9.36 %,11.8 %,Sugar,Sugar,Bannari Amman Sugars Limited is one of the leading sugar manufacturers in India. It has three sugar factories with cogeneration plants in Tamilnadu and two sugar factories with co-generation plants in Karnataka. It has two distillery units one in Tamilnadu and another in Karnataka. It has a Granite Processing unit in Tamilnadu. The company also has windmills which are located in the southern part of Tamilnadu.,3942.9
BASML-RE1,4.05,3.05,1.0,16-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,N/A
BDL,1844.0,2.08,2.0,16-May-25,Equity,"₹ 67,631 Cr.",120,17.9 %,24.2 %,Aerospace & Defence,Engineering,"Bharat Dynamics (BDL), is a Government of India Enterprise. It is engaged in the manufacturing of guided missiles and allied defence equipments [1] [2].",1976.9
BEL,363.8,3.82,1.0,16-May-25,Equity,"₹ 2,66,076 Cr.",53.6,27.0 %,35.7 %,Aerospace & Defence,Electronics - Components,"Incorporated in 1954, Bharat Electronics Ltd manufactures and supplies electronic equipment and systems to the defence sector. Company also has a limited presence in the civilian market",386.0
CAMLINFINE,193.01,-2.05,1.0,16-May-25,Equity,"₹ 3,624 Cr.",Book Value,-7.23 %,0.37 %,Chemicals,Chemicals,Camlin Fine Sciences is engaged in the Business of Speciality Chemicals.,242.51
COMSYN,107.0,3.78,3.0,16-May-25,Equity,₹ 423 Cr.,44.5,6.09 %,8.31 %,Packaging,Packaging,"Incorporated in 1984, Commercial Syn Bags
Ltd manufactuers and exports containers and packaging materials[1]",121.44
COROMANDEL,2451.0,-0.77,1.0,16-May-25,Equity,"₹ 72,333 Cr.",38.8,18.3 %,25.6 %,Fertilizers,Fertilizers,"Coromandel International Ltd is one of India's leading agri solutions provider. It offers a diverse range of products and services across the farming value chain. It specializes in fertilizers, crop protein, bio pesticide, specialty nutrients, organic fertilizers, etc.",2314.9
CPS,784.05,2.36,10.0,16-May-25,SME,₹ 165 Cr.,Book Value,10.8 %,15.9 %,Readymade Garments/ Apparells,Textiles - Products,"Incorporated in 2012, C P S Shapers Ltd manufactures and sells compressed garments[1]",N/A
DALBHARAT,2073.2,-0.6,1.0,16-May-25,Equity,"₹ 38,805 Cr.",204,2.43 %,2.63 %,Cement,Cement - South India,Dalmia Bharat is engaged in the business of Manufacturing and Selling of Cement. The company was started in 1939 and is the 4th largest cement manufacturer by installed capacity in India.,2062.0
DIVISLAB,6268.0,0.86,22.0,16-May-25,Equity,"₹ 1,66,486 Cr.",80.3,12.0 %,16.3 %,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs,"Incorporated in 1990, Divis Laboratories Ltd manufactures and exports API's, Intermediates and Nutraceutical ingredients[1]",6530.0
DRL,31.6,3.95,1.0,16-May-25,SME,₹ 24.4 Cr.,Book Value,-1.32 %,4.64 %,Construction,Construction,"Incorporated in 2002, Dhanuka Realty Ltd is in the business of real estate development and construction[1]",30.2
FORCEMOT,10950.0,-1.3,1.0,16-May-25,Equity,"₹ 14,414 Cr.",26.4,20.1 %,29.1 %,Automobile,Automobiles - LCVs / HCVs,"Force Motors Ltd was established in 1958, is the flagship company of the Abhay Firodia group. The company is in the business of manufacturing fully vertically integrated small and light CVs, multi-utility vehicles, and agricultural tractors, which it supplies to various countries in the Middle East, Asia, Latin America, and Africa. It was known as Bajaj Tempo till 2005",12012.0
GATDVR-RE,0.1,11.11,1.0,16-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,N/A
GATECH-RE1,0.1,11.11,1.0,16-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,N/A
GUJTHEM,334.9,3.2,29.0,16-May-25,Equity,"₹ 3,639 Cr.",69.1,33.8 %,45.0 %,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs,"Incorporated in 1981, Gujarat Themis Biosyn
Ltd manufactures and sells finished Active Pharmaceutical Ingredients products by fermentation process",306.8
ICICIBANK,1452.4,0.11,1.0,16-May-25,Equity,"₹ 10,35,574 Cr.",22.0,17.9 %,7.62 %,Banks,Banks - Private Sector,"ICICI Bank is the second-largest private sector bank in India offering a diversified portfolio of financial products and services to retail, SME and corporate customers. The Bank has an extensive network of branches, ATMs and other touch-points.The ICICI group has presence in businesses like life and general insurance, housing finance, primary dealership, etc, through its subsidiaries and associates.",1437.9
INDIAGLYCO,1750.0,-0.4,1.0,16-May-25,Equity,"₹ 5,412 Cr.",32.3,9.00 %,11.1 %,Alcoholic Beverages,Breweries & Distilleries,"Established in 1988, India Glycols Ltd. is engaged in the manufacturing of green technology-based bulk, specialty & performance chemicals, and natural gums, spirits, industrial gases, sugar, and nutraceuticals.",1915.2
KANPRPLA,195.94,10.0,1.0,16-May-25,Equity,₹ 447 Cr.,22.1,10.5 %,11.8 %,Packaging,Packaging,"Incorporated in 1971, Kanpur Plastipack Ltd manufactures HDPE /PP Woven Sacks, PP Box Bags, FIBC, Fabrics and High Tenacity PP MFY[1]",234.44
KARNIKA,688.0,0.31,2.0,16-May-25,SME,₹ 853 Cr.,53.5,28.4 %,21.1 %,Textiles,Textiles - Products,"Incorporated in 2017, Karnika Industries Ltd manufactures and deals with ready-made garments for children[1]",679.85
KILITCH,436.0,3.53,1.0,16-May-25,Equity,₹ 695 Cr.,29.7,7.98 %,10.2 %,Pharmaceuticals,Pharmaceuticals - Indian - Formulations,"Incorporated in 1978, Kilitch Drugs Ltd is engaged in the operation and management of Pharmaceutical Products[1]",422.65
MAHICKRA,145.0,5.76,1.0,16-May-25,SME,₹ 118 Cr.,61.0,3.25 %,5.96 %,Chemicals,Dyes And Pigments,"Incorporated in 1997, Mahickra Chemicals Ltd manufacturers, trades & exports Dyes and Chemicals[1]",122.9
MASTER,410.15,0.1,1.0,16-May-25,SME,₹ 164 Cr.,40.0,15.6 %,21.7 %,Plastic products,Plastics Products,"Incorporated in 1999, Master Components Ltd is in the business of manufacturing of Plastic Engineering Components and sub assemblies[1]",N/A
MAZDOCK,3523.9,10.73,2.0,16-May-25,Equity,"₹ 1,41,990 Cr.",53.5,37.8 %,50.6 %,Aerospace & Defence,Miscellaneous,"Mazagon Dock Shipbuilders Limited (MDL), Mumbai, established in 1774, is a prominent shipyard in India. Initially a small dry dock, MDL has evolved into a renowned shipbuilding company. It has constructed 801 vessels since 1960, including warships, submarines, cargo/passenger ships, and offshore platforms.",3438.6
MEDPLUS,886.0,8.19,161.0,16-May-25,Equity,"₹ 10,625 Cr.",293,0.82 %,1.23 %,Retail,Trading,,917.95
MFSL,1355.9,-0.18,1.0,16-May-25,Equity,"₹ 46,767 Cr.",Book Value,-0.14 %,-0.13 %,Finance,Finance & Investments,"Max Financial Services Limited incorporated on 24 February, 1988 is part of India’s leading business conglomerate – the Max Group. Company is primarily engaged in growing and nurturing business investments and providing management advisory services to Indian group companies. It owns and actively manages an 81.83% majority stake in Max Life Insurance, India’s largest non-bank life insurer and 4th largest private life insurance company.",1513.2
NAZARA,1244.0,-0.29,1.0,16-May-25,Equity,"₹ 10,882 Cr.",Book Value,-8.39 %,-7.82 %,Telecomm-Service,Telecommunications - Service Provider,"Nazara Technologies is the leading India based diversified gaming and sports media platform with presence in India and across emerging and developed global markets such as Africa and North America, and offerings across the interactive gaming, eSports and gamified early learning ecosystems.",1268.4
PARAS,1817.4,20.0,315.0,16-May-25,Equity,"₹ 7,320 Cr.",112,11.9 %,16.4 %,Aerospace & Defence,Engineering,"Paras Defence and Space Technologies (PDST) is an Private sector company primarily engaged in the designing, developing, manufacturing, and testing of a variety of defence and space engineering products and solutions. The company caters to four major segments - Defence & Space Optics, Defence Electronics, Heavy Engineering and Electromagnetic Pulse Protection Solutions.",1602.0
RMDRIP,544.9,1.73,1.0,16-May-25,SME,"₹ 1,361 Cr.",56.9,39.7 %,44.6 %,Plastic products,Plastics Products,"Incorporated in 1996, R M Drip & Sprinklers Systems Ltd manufactures micro irrigation systems[1]",548.35
SHANKARA,744.4,1.67,1.0,16-May-25,Equity,"₹ 1,792 Cr.",27.2,13.0 %,19.7 %,Retail,Trading,Shankara Building Products Ltd is one of the India's leading organized retailers of home improvement and building products in India. It caters to a large customer base spread across various end-user segments in urban and semi-urban markets through a retail led multi-channel approach.,870.6
SHEETAL,112.7,0.76,1.0,16-May-25,SME,₹ 129 Cr.,62.7,10.0 %,12.8 %,FMCG,Food - Processing - Indian,"Incorporated in 2015, Sheetal Universal Ltd is engaged in the manufacturing of Agricultural Products[1]",132.15
SOLARINDS,14070.0,1.37,1.0,16-May-25,Equity,"₹ 1,26,817 Cr.",168,28.9 %,34.1 %,Aerospace & Defence,Chemicals,"Solar Industries is one of the largest domestic manufacturers of bulk and cartridge explosives, detonators, detonating cords and components which find applications in the mining, infrastructure and construction industries.
Company manufactures high-energy explosives, delivery systems, ammunition filling and pyros fuses for the defence sector.",16619.0
TANKUP,226.8,14.78,1.0,16-May-25,SME,₹ 117 Cr.,45.7,107 %,62.8 %,Engineering,Engineering,"Incorporated in 2020, Tankup Engineers
Ltd designs and manufactures mobility
and storage solutions for special-purpose applications",256.0
TDPOWERSYS,493.5,1.31,1.0,16-May-25,Equity,"₹ 7,705 Cr.",49.4,20.3 %,27.8 %,Capital Goods - Electrical Equipment,Electric Equipment,TD Power Systems Ltd is engaged in manufacturing AC generators and Electric motors for various applications which are specifically designed to suit the needs of the customers based on their requirements and specifications.,500.6
TERASOFT,277.0,1.43,1.0,16-May-25,Equity,₹ 349 Cr.,44.3,3.78 %,7.79 %,IT - Software,Computers - Software - Medium / Small,"Incorporated in 1994, Tera Software Ltd is in
the business of IT & Integrated related services",252.6
WANBURY,304.4,9.67,150.0,16-May-25,Equity,₹ 999 Cr.,32.7,70.0 %,34.9 %,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in 1988, Wanbury Ltd is in the business of pharmaceutical and related activities, including research[1]",296.25
AARON,399.9,9.19,147.0,19-May-25,Equity,₹ 419 Cr.,50.9,20.9 %,18.6 %,Capital Goods-Non Electrical Equipment,Engineering,"Incorporated in 2013, Aaron Industries
Ltd manufactures Elevators and Elevators
parts and Stainless -Steel press plates",383.65
AARTIPHARM,854.0,7.22,89.0,19-May-25,Equity,"₹ 7,752 Cr.",30.1,14.8 %,17.4 %,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in 2019, Aarti Pharmalabs Ltd is a manufacturer of Pharmaceuticals and Nutraceuticals[1]",903.75
ABINFRA,111.9,3.77,3.0,19-May-25,Equity,₹ 716 Cr.,Book Value,20.0 %,22.3 %,Infrastructure Developers & Operators,Construction,"Incorporated in 2011, A B Infrabuild Ltd construction of roads, railways, branches and sidings, bridges, etc.[1]",141.89
AIIL,2170.0,0.92,3.0,19-May-25,Equity,"₹ 36,891 Cr.",8.68,34.1 %,31.2 %,Finance,Finance & Investments,"Authum Investment & Infrastructure Limited is engaged in the business of fund-based activities viz, investment in shares, securities, mutual funds etc. and providing loans and advances, etc.",2473.6
APLAPOLLO,1809.0,1.32,3.0,19-May-25,Equity,"₹ 50,160 Cr.",149,11.2 %,15.3 %,Steel,Steel - Large,"APL Apollo Tubes Limited (APL Apollo) is one of India’s leading branded steel products manufacturers. Headquartered at Delhi NCR, the Company runs 10 manufacturing facilities churning out over 1,500 varieties of MS Black Pipes, Galvanised Tubes, Pre-Galvanised Tubes, Structural ERW Steel Tubes and Hollow Sections to serve industry applications like urban infrastructures, housing, irrigation, solar plants, greenhouses and engineering.",1815.6
ARSSINFRA,54.73,4.99,3.0,19-May-25,Equity,₹ 124 Cr.,86.6,%,-2.32 %,Infrastructure Developers & Operators,Construction,"Incorporated in 2000, ARSS Infrastructure Projects Ltd is in the business of project execution for various civil and infrastructure projects",N/A
ARUNAYA,42.8,-3.39,3.0,19-May-25,SME,₹ 81.2 Cr.,19.9,44.1 %,32.5 %,Chemicals,Dyes And Pigments,"Incorporated in 2010, Arunaya Organics Limited is engaged in the manufacturing and exporting of specialty dyes and intermediates.[1]",35.15
ASTRAMICRO,1084.05,1.05,3.0,19-May-25,Equity,"₹ 10,294 Cr.",86.7,13.9 %,18.0 %,Aerospace & Defence,Telecommunications - Equipment,"Astra Microwave Products is engaged in the business of design, development and manufacture of sub-systems for Radio Frequency and microwave systems used in defense, space, meteorology and telecommunication.",1140.6
AVANTEL-RE,90.73,16.45,3.0,19-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,N/A
BAJAJHLDNG,13750.0,4.87,3.0,19-May-25,Equity,"₹ 1,55,412 Cr.",64.6,16.8 %,17.4 %,Finance,Finance & Investments,"Incorporated in 2024, Bajaj Holdings & Investment Ltd is an Investment and Credit Company[1]",13158.0
BEL,363.0,-0.25,3.0,19-May-25,Equity,"₹ 2,65,893 Cr.",53.5,27.0 %,35.7 %,Aerospace & Defence,Electronics - Components,"Incorporated in 1954, Bharat Electronics Ltd manufactures and supplies electronic equipment and systems to the defence sector. Company also has a limited presence in the civilian market",386.0
BSE,7475.0,2.69,5.0,19-May-25,Equity,"₹ 1,00,977 Cr.",85.6,35.8 %,47.5 %,Financial Services,Miscellaneous,"Bombay Stock Exchange (BSE Ltd) is an Indian Stock Exchange located at Dalal Street in Mumbai. The Co. facilitates a market for trading in equity, currencies, debt instruments, derivatives, and mutual funds.",2764.9
CAMLINFINE,199.9,3.34,3.0,19-May-25,Equity,"₹ 3,746 Cr.",Book Value,-7.23 %,0.37 %,Chemicals,Chemicals,Camlin Fine Sciences is engaged in the Business of Speciality Chemicals.,242.51
CHETANA,121.9,13.18,14.0,19-May-25,SME,₹ 247 Cr.,20.5,%,%,Printing & Stationery,Printing & Stationery,"Established in 2017, Chetana Education Limited publishes CBSE/State Board textbooks for K-12 and develops educational software and videos accessible via QR codes.",91.0
CHOICEIN,689.0,0.7,4.0,19-May-25,Equity,"₹ 13,777 Cr.","1,652",2.05 %,3.15 %,Finance,Finance & Investments,"Incorporated in 1993, Choice International Ltd provides services like Broking & Distribution, Investment Banking, Financial services, etc.[1]",705.2
COMSYN,111.9,4.72,3.0,19-May-25,Equity,₹ 447 Cr.,47.0,6.09 %,8.31 %,Packaging,Packaging,"Incorporated in 1984, Commercial Syn Bags
Ltd manufactuers and exports containers and packaging materials[1]",121.44
DIVISLAB,6567.5,4.59,3.0,19-May-25,Equity,"₹ 1,74,627 Cr.",79.0,15.6 %,20.6 %,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs,"Incorporated in 1990, Divis Laboratories Ltd manufactures and exports API's, Intermediates and Nutraceutical ingredients[1]",6530.0
DRL,32.85,3.96,3.0,19-May-25,SME,₹ 25.4 Cr.,Book Value,-1.32 %,4.64 %,Construction,Construction,"Incorporated in 2002, Dhanuka Realty Ltd is in the business of real estate development and construction[1]",30.2
ELGNZ,148.0,-0.34,4.0,19-May-25,SME,₹ 334 Cr.,16.9,0.26 %,0.40 %,Miscellaneous,Miscellaneous,"Incorporated in 1996, Eleganz Interiors Limited is engaged in the business of Interior solutions for corporations, laboratories, airport lounges, etc.[1]",134.35
FAZE3Q,646.0,3.59,7.0,19-May-25,Equity,"₹ 1,570 Cr.",53.7,11.9 %,15.0 %,Textiles,Textiles - Processing,"Faze Three Limited, established in 1985, is primarily engaged in manufacturing and exports of end home textile products items like bathmats, rugs, blankets, throws, cushions, etc. The company has diversified its product mix across categories in the Home Textile segment and is also a direct exporter to top retail store chains in USA, UK and Europe.",556.9
GATDVR-RE,0.11,10.0,3.0,19-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,N/A
GATECH-RE1,0.11,10.0,3.0,19-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,N/A
GSMFOILS,155.85,4.32,41.0,19-May-25,SME,₹ 200 Cr.,20.7,45.7 %,45.6 %,Non Ferrous Metals,Aluminium and Aluminium Products,"Incorporated in 2019, GSM Foils Ltd manufactures a broad array of Blister Foils and Aluminium Pharma Foils[1]",139.65
